id,title,publisher,publication_date,access_date,url,source_type,supports,evidence,status
"C01","Marine Products Business Medium-Term Management Plan (2025–2027)","Yamaha Motor Co., Ltd.","2025-03-13","2026-09-17","https://global.yamaha-motor.com/ir/library/report/pdf/2025/marine_en_01.pdf","official PDF","Marine revenue/profit importance; integrated boat strategy; external collaboration; R&D 1.7x and capex 1.8x; carbon-neutral pathways","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C02","Outline of the New Medium-Term Management Plan","Yamaha Motor Co., Ltd.","2025-02-12","2026-09-17","https://global.yamaha-motor.com/news/2025/0212/mtp.html","official news release","Marine and motorcycles are Core Businesses; portfolio categories; targeted core investment; ROIC and payout policy","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C03","Consolidated Business Results Summary—Full Fiscal Year Ending December 31, 2025","Yamaha Motor Co., Ltd.","2026-02-13","2026-09-17","https://global.yamaha-motor.com/news/2026/0213/result.html","official news release","FY2025 Marine revenue/profit; U.S./Asia demand; tariff and cost pressure","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C04","Consolidated Business Results Summary—First Half of Fiscal Year Ending December 31, 2026","Yamaha Motor Co., Ltd.","2026-08-04","2026-09-17","https://global.yamaha-motor.com/news/2026/0804/result.html","official news release","latest located H1 FY2026 Marine revenue/profit; regional demand; tariff/refund and forecast context","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C05","New Medium-Term Management Plan (2025–2027) Marine Products Business | Analyst Briefing and Q&A Minutes","Yamaha Motor Co., Ltd.","2025-03-13","2026-09-17","https://global.yamaha-motor.com/ir/library/report/pdf/2025/marine_qa_en.pdf","official PDF","Toshiaki Ibata role; external partner quality requirements; large-outboard priorities; Southeast Asia/China/Australia opportunity","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C06","Corporate Governance System","Yamaha Motor Co., Ltd.","","2026-09-17","https://global.yamaha-motor.com/ir/governance/framework/","official IR page","Board/Executive Officer delegation; Management Committee; Global Executive Committee; overseas sales ~90%","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C07","Members of the Board","Yamaha Motor Co., Ltd.","2026-03-25","2026-09-17","https://global.yamaha-motor.com/ir/governance/director/","official IR page","current board and responsibility map; Ibata Marketing/Marine, Kinoshita Technology, Muraki Manufacturing & Procurement","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C08","Yamaha Motor Establishes Second Fund for Corporate Venturing","Yamaha Motor Co., Ltd.","2023-03-13","2026-09-17","https://global.yamaha-motor.com/news/2023/0313/corporate.html","official news release","Yamaha Motor Exploratory Fund II US$100m/10 years; YMV searches investments; CVC vs operating capital distinction","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C09","Yamaha Motor Establishes Sustainability Investment Fund","Yamaha Motor Co., Ltd.","2022-06-21","2026-09-17","https://global.yamaha-motor.com/news/2022/0621/corporate.html","official news release","Sustainability Fund US$100m/15 years; YMV renamed from YMVSV; exploratory startup purpose","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
"C10","Meet the Team That’s on Your Team","Yamaha Motor Ventures","","2026-09-17","https://www.yamahamotor.vc/team","official YMV page","current YMV team and titles","","Cited primary source; public source record; consult the cited URL for evidence and limitations."
